City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
82,Vila Franca Do Campo,PT,37.72,-25.43,66.2,72,75,8.05,broken clouds
83,Barrow,US,71.29,-156.79,24.8,68,90,9.17,overcast clouds
84,Tuatapere,NZ,-46.13,167.68,54.0,64,100,8.01,overcast clouds
85,Nikolskoye,RU,59.7,30.79,52.0,93,75,2.08,mist
86,Taoudenni,ML,22.68,-3.98,87.06,28,32,10.67,scattered clouds
87,Prince Rupert,CA,54.32,-130.32,48.2,87,90,1.48,overcast clouds
88,Benjamin Constant,BR,-4.38,-70.03,77.0,100,40,2.24,light rain
89,San Patricio,US,28.02,-97.52,80.01,88,40,11.41,scattered clouds
90,Luderitz,NA,-26.65,15.16,62.44,31,0,8.32,clear sky
91,Provideniya,RU,64.38,-173.3,41.0,82,75,20.13,broken clouds
92,Atlantic City,US,39.36,-74.42,64.0,93,90,14.99,overcast clouds
93,Bonfim,BR,3.08,-59.95,78.76,72,6,0.34,clear sky
94,Lorengau,PG,-2.02,147.27,84.34,75,100,10.54,light rain
95,Valer,NO,60.68,11.83,44.6,70,59,5.82,broken clouds
96,Oppdal,NO,62.59,9.69,37.94,84,100,4.76,light rain
97,Davila,PH,18.47,120.58,86.0,79,75,4.7,broken clouds
98,Lokosovo,RU,61.13,74.82,40.57,97,99,8.68,light rain
99,Kralendijk,BQ,12.15,-68.27,84.2,79,44,14.99,scattered clouds
100,Puerto Ayora,EC,-0.74,-90.35,70.0,90,90,5.99,overcast clouds
101,Bethel,US,41.37,-73.41,57.2,71,75,8.05,broken clouds
102,Sivaki,RU,52.63,126.75,32.07,91,83,12.48,broken clouds
103,Campoverde,PE,-8.48,-74.81,78.55,53,0,1.66,clear sky
104,Pisco,PE,-13.7,-76.22,64.4,77,4,8.05,clear sky
105,Hualmay,PE,-11.1,-77.61,62.11,86,11,6.24,few clouds
106,Gat,IL,31.61,34.76,72.0,100,0,4.68,clear sky
107,Dingle,PH,11.0,122.67,85.06,72,100,4.34,overcast clouds
108,Bredasdorp,ZA,-34.53,20.04,44.6,87,87,3.36,overcast clouds
109,Chachapoyas,PE,-6.23,-77.87,51.44,86,9,3.98,clear sky
110,Powell,US,40.16,-83.08,66.99,88,90,9.17,overcast clouds
111,Teya,RU,60.38,92.63,25.77,89,88,4.27,overcast clouds
112,Zemio,CF,5.03,25.14,67.46,96,100,1.07,light rain
113,Lumeje,AO,-11.55,20.78,69.35,72,38,4.83,scattered clouds
114,Alofi,NU,-19.06,-169.92,77.0,78,75,25.28,broken clouds
115,Impfondo,CG,1.64,18.07,67.35,98,98,2.21,overcast clouds
116,Sampit,ID,-2.53,112.95,91.15,44,100,4.12,overcast clouds
117,Ambilobe,MG,-13.2,49.05,76.84,75,0,4.7,clear sky
118,Sitka,US,57.05,-135.33,46.4,87,75,8.05,light rain
119,Sinnamary,GF,5.38,-52.95,80.28,80,6,10.85,clear sky
120,Flinders,AU,-34.58,150.86,68.0,79,36,8.01,scattered clouds
121,Jamestown,US,42.1,-79.24,60.01,71,20,6.93,few clouds
122,Wanaka,NZ,-44.7,169.15,61.95,54,31,4.25,scattered clouds
123,Mascote,BR,-15.56,-39.3,71.8,97,99,2.98,overcast clouds
124,Hobyo,SO,5.35,48.53,78.55,86,54,11.27,broken clouds
125,Manta,EC,-0.95,-80.73,75.2,83,75,13.87,broken clouds
126,Layou,VC,13.2,-61.27,78.8,88,40,7.58,scattered clouds
